device_name,device_type,ip_address
4E11-G01A-Sec1,28,10.8.250.10
4E11-G01A-Sec2,14,10.8.250.11
4E11-G02A-Sec1,28,10.8.250.14
4E11-G02A-Sec2,14,10.8.250.15
4E11-G03A-Sec1,28,10.8.250.18
4E11-G03A-Sec2,14,10.8.250.19
4E11-G04A-Sec1,28,10.8.250.22
4E11-G04A-Sec2,14,10.8.250.23
4E11-G05A-Sec1,28,10.8.250.26
4E11-G05A-Sec2,14,10.8.250.27
4E11-G06A-Sec1,28,10.8.250.30
4E11-G06A-Sec2,14,10.8.250.31
4E11-G07A-Sec1,28,10.8.250.34
4E11-G07A-Sec2,14,10.8.250.35
4E11-G08A-Sec1,28,10.8.250.38
4E11-G08A-Sec2,14,10.8.250.39
4E11-G09A-Sec1,28,10.8.250.42
4E11-G09A-Sec2,14,10.8.250.43
4E11-G01B-Sec1,28,10.8.250.46
4E11-G01B-Sec2,14,10.8.250.47
4E11-G02B-Sec1,28,10.8.250.50
4E11-G02B-Sec2,14,10.8.250.51
4E11-G03B-Sec1,28,10.8.250.54
4E11-G03B-Sec2,14,10.8.250.55
4E11-G04B-Sec1,28,10.8.250.58
4E11-G04B-Sec2,14,10.8.250.59
4E11-G05B-Sec1,28,10.8.250.62
4E11-G05B-Sec2,14,10.8.250.63
4E11-G06B-Sec1,28,10.8.250.66
4E11-G06B-Sec2,14,10.8.250.67
4E11-G07B-Sec1,28,10.8.250.70
4E11-G07B-Sec2,14,10.8.250.71
4E11-G08B-Sec1,28,10.8.250.74
4E11-G08B-Sec2,14,10.8.250.75
4E11-G09B-Sec1,28,10.8.250.78
4E11-G09B-Sec2,14,10.8.250.79
4E12-G01C-Sec1,28,10.8.250.82
4E12-G01C-Sec2,14,10.8.250.83
4E12-G02C-Sec1,28,10.8.250.86
4E12-G02C-Sec2,14,10.8.250.87
4E12-G03C-Sec1,28,10.8.250.90
4E12-G03C-Sec2,14,10.8.250.91
4E12-G04C-Sec1,28,10.8.250.94
4E12-G04C-Sec2,14,10.8.250.95
4E12-G05C-Sec1,28,10.8.250.98
4E12-G05C-Sec2,14,10.8.250.99
4E12-G06C-Sec1,28,10.8.250.102
4E12-G06C-Sec2,14,10.8.250.103
4E12-G07C-Sec1,28,10.8.250.106
4E12-G07C-Sec2,14,10.8.250.107
4E12-G08C-Sec1,28,10.8.250.110
4E12-G08C-Sec2,14,10.8.250.111
4E12-G09C-Sec1,28,10.8.250.114
4E12-G09C-Sec2,14,10.8.250.115
4E12-G01D-Sec1,28,10.8.250.118
4E12-G01D-Sec2,14,10.8.250.119
4E12-G02D-Sec1,28,10.8.250.122
4E12-G02D-Sec2,14,10.8.250.123
4E12-G03D-Sec1,28,10.8.250.126
4E12-G03D-Sec2,14,10.8.250.127
4E12-G04D-Sec1,28,10.8.250.130
4E12-G04D-Sec2,14,10.8.250.131
4E12-G05D-Sec1,28,10.8.250.134
4E12-G05D-Sec2,14,10.8.250.135
4E12-G06D-Sec1,28,10.8.250.138
4E12-G06D-Sec2,14,10.8.250.139
4E12-G07D-Sec1,28,10.8.250.142
4E12-G07D-Sec2,14,10.8.250.143
4E12-G08D-Sec1,28,10.8.250.146
4E12-G08D-Sec2,14,10.8.250.147
4E12-G09D-Sec1,28,10.8.250.150
4E12-G09D-Sec2,14,10.8.250.151
4C11-R01A-Sec1,,10.8.223.11
4C11-R02A-Sec1,,10.8.223.13
4C11-R03A-Sec1,,10.8.223.15
4C11-R04A-Sec1,,10.8.223.17
4C11-R06A-Sec1,,10.8.223.19
4C11-R07A-Sec1,,10.8.223.21
4C11-R09A-Sec1,,10.8.223.23
4C11-R12A-Sec1,,10.8.223.25
4C11-R12A2-Sec1,,10.8.223.27
4C12-R01B-Sec1,,10.8.223.29
4C12-R02B-Sec1,,10.8.223.31
